ClubDimKey,ClubTeamName,Sport,CompetitionLevel,SurfaceType
1,Carpena FC,Football,Professional,Grass
2,PereiraBourg Boxing Club,Boxing,Amateur,Ring
3,Toledo City,Football,Professional,Indoor Court
4,Melle United,Football,Amateur,Grass
5,Wesel FC,Football,Amateur,Artificial Turf
6,Waynetown Stars,Basketball,Amateur,Wooden Floor
7,Stade Hoops,Basketball,Professional,Wooden Floor
8,Bützow Gym,Boxing,Amateur,Training Mat
9,Artern Tennis Club,Tennis,Professional,Hard Court
10,Barcelona United,Football,Amateur,Grass
11,Thibault-la-Forêt Athletic Club,Athletics,Amateur,Field
12,Kassel Rovers,Football,Amateur,Artificial Turf
13,Mallet Athletic Club,Athletics,Amateur,Indoor Track
14,Olpe Rovers,Football,Professional,Grass
15,Maccagno BC,Boxing,Amateur,Training Mat
16,Lemie Gym,Boxing,Amateur,Ring
17,Rockenhausen Rovers,Football,Amateur,Artificial Turf
18,Fimiani TC,Tennis,Professional,Indoor Court
19,Bonarcado Gym,Boxing,Professional,Training Mat
20,Kyritz Gym,Boxing,Amateur,Ring
21,Vallesella Academy,Tennis,Amateur,Clay
22,Barrettshire FC,Football,Amateur,Artificial Turf
23,Forst Athletic,Football,Amateur,Grass
24,Figlioli City,Football,Amateur,Artificial Turf
25,Copparo Gym,Boxing,Amateur,Ring
26,Burg Gym,Boxing,Amateur,Ring
27,Zamora United,Football,Amateur,Indoor Court
28,Galati Mamertino AC,Athletics,Amateur,Track
29,Canosa Sannita Boxing Club,Boxing,Professional,Training Mat
30,Cuenca Athletic Club,Athletics,Amateur,Road
31,Wurzen BC,Boxing,Professional,Training Mat
32,Saliano Gym,Boxing,Amateur,Ring
33,Barrettberg Tennis Club,Tennis,Amateur,Grass
34,León Gym,Boxing,Amateur,Ring
35,Gaillard Track Club,Athletics,Professional,Field
36,DufourBourg Stars,Basketball,Amateur,Outdoor Court
37,Almería Boxing Club,Boxing,Amateur,Gym Floor
38,Giudecca Di Burano Stars,Basketball,Amateur,Wooden Floor
39,Alicante Hoops,Basketball,Amateur,Wooden Floor
40,Plauen Rovers,Football,Professional,Artificial Turf
41,Ricca City,Football,Amateur,Artificial Turf
42,Strettoia Tennis Club,Tennis,Professional,Indoor Court
43,LaporteVille Hoops,Basketball,Amateur,Wooden Floor
44,Jelsi Hoops,Basketball,Amateur,Indoor Court
45,Zaragoza TC,Tennis,Amateur,Hard Court
46,Paul-la-Forêt Track Club,Athletics,Amateur,Indoor Track
47,Smithshire Gym,Boxing,Amateur,Gym Floor
48,Launay-la-Forêt Athletic,Football,Amateur,Artificial Turf
49,Palencia FC,Football,Amateur,Grass
50,West Melissaview Academy,Tennis,Professional,Hard Court
51,Backnang City,Football,Amateur,Grass
52,Mary-la-Forêt Hoops,Basketball,Amateur,Indoor Court
53,Payet-sur-Dumas Academy,Tennis,Amateur,Clay
54,Saint Théodore AC,Athletics,Amateur,Road
55,Navarra Boxing Club,Boxing,Professional,Gym Floor
56,Bad Brückenau TC,Tennis,Amateur,Grass
57,Port Stanley Gym,Boxing,Amateur,Gym Floor
58,Castellón BC,Basketball,Amateur,Indoor Court
59,East Gregoryport BC,Boxing,Amateur,Ring
60,Bethanymouth Academy,Tennis,Amateur,Clay
61,Paderborn Athletic,Football,Professional,Grass
62,Soria Athletic,Football,Professional,Indoor Court
63,Lleida Track Club,Athletics,Professional,Indoor Track
64,Beroide Academy,Tennis,Amateur,Clay
65,Thierry Stars,Basketball,Amateur,Outdoor Court
66,Urbino Boxing Club,Boxing,Professional,Training Mat
67,Gessopalena Gym,Boxing,Professional,Gym Floor
68,Ebermannstadt Athletic Club,Athletics,Amateur,Track
69,Crailsheim Hoops,Basketball,Professional,Wooden Floor
70,La Serra Athletic Club,Athletics,Amateur,Indoor Track
71,Kitzingen BC,Boxing,Amateur,Gym Floor
72,Argenta Basketball Club,Basketball,Amateur,Wooden Floor
73,Timothymouth Track Club,Athletics,Amateur,Indoor Track
74,Port Robertton City,Football,Amateur,Artificial Turf
75,Ruiz Tennis Club,Tennis,Amateur,Indoor Court
76,Gérard AC,Athletics,Amateur,Indoor Track
77,West Sarah Athletic,Football,Professional,Indoor Court
78,Sebnitz Tennis Club,Tennis,Amateur,Indoor Court
79,Giovenzano Boxing Club,Boxing,Professional,Ring
80,Rahmanton Basketball Club,Basketball,Amateur,Outdoor Court
81,East Dennis Boxing Club,Boxing,Professional,Gym Floor
82,Northeim BC,Boxing,Professional,Ring
83,Torrano AC,Athletics,Amateur,Indoor Track
84,Alexandrabury AC,Athletics,Amateur,Field
85,Luckenwalde Track Club,Athletics,Professional,Field
86,Normanshire Stars,Basketball,Amateur,Wooden Floor
87,Girona Gym,Boxing,Amateur,Ring
88,Greiz FC,Football,Amateur,Indoor Court
89,Las Palmas TC,Tennis,Amateur,Clay
90,Charpentier-sur-Marion TC,Tennis,Amateur,Clay
91,Martinport BC,Boxing,Amateur,Training Mat
92,Annetteberg Boxing Club,Boxing,Amateur,Ring
93,Eggenfelden United,Football,Amateur,Indoor Court
94,Daviesville Academy,Tennis,Amateur,Grass
95,Einbeck Athletic Club,Athletics,Amateur,Indoor Track
96,Pegnitz Tennis Club,Tennis,Amateur,Grass
97,Bad Freienwalde Athletic,Football,Professional,Grass
98,Konstanz Rovers,Football,Professional,Grass
99,Zamora Track Club,Athletics,Professional,Field
100,Guillot-les-Bains Tennis Club,Tennis,Amateur,Indoor Court
101,Ávila Athletic,Football,Professional,Indoor Court
102,Guadalajara Basketball Club,Basketball,Professional,Wooden Floor
103,Fontanetto Po Tennis Club,Tennis,Amateur,Grass
104,Artern Hoops,Basketball,Amateur,Wooden Floor
