LocationDimKey,Country,Latitude,Longitude,Region
1,Denmark,56.3093,9.5923,Northern Europe
2,Czech Republic,49.7401,15.2509,Central Europe
3,Switzerland,46.6114,8.3561,Central Europe
4,Norway,60.3368,8.3391,Northern Europe
5,Norway,60.7403,8.0248,Northern Europe
6,Spain,40.7087,-3.7102,Southern Europe
7,Belgium,50.3855,4.966,Western Europe
8,Czech Republic,50.1934,15.2364,Central Europe
9,Denmark,56.7492,9.8086,Northern Europe
10,United Kingdom,55.4058,-3.3294,Western Europe
11,Portugal,39.4538,-8.1361,Southern Europe
12,Italy,42.0953,12.9498,Southern Europe
13,Germany,51.3391,10.9357,Central Europe
14,Spain,40.8382,-4.1738,Southern Europe
15,Italy,41.7509,13.0527,Southern Europe
16,Germany,50.7158,10.4283,Central Europe
17,Germany,51.2851,10.3707,Central Europe
18,Denmark,56.5158,9.0743,Northern Europe
19,Czech Republic,49.62,15.9569,Central Europe
20,Portugal,39.1105,-8.3816,Southern Europe
21,United Kingdom,55.0397,-3.4942,Western Europe
22,Denmark,56.697,9.974,Northern Europe
23,Italy,42.1085,12.3996,Southern Europe
24,Germany,51.3257,10.35,Central Europe
25,Germany,50.7741,10.3861,Central Europe
26,Denmark,56.5704,9.6887,Northern Europe
27,Netherlands,52.035,5.087,Western Europe
28,Sweden,60.2082,18.7982,Northern Europe
29,Poland,51.7298,19.4517,Central Europe
30,Poland,52.107,19.5378,Central Europe
31,Switzerland,46.9137,8.6775,Central Europe
32,Poland,51.6586,19.085,Central Europe
33,Belgium,50.3348,4.4358,Western Europe
34,Switzerland,47.0657,8.2736,Central Europe
35,Germany,51.5726,10.5434,Central Europe
36,Sweden,60.5078,18.4218,Northern Europe
37,Norway,59.9924,8.1213,Northern Europe
38,France,46.3063,2.6426,Western Europe
39,Belgium,50.6654,4.0389,Western Europe
40,Sweden,60.1117,18.5791,Northern Europe
41,Austria,47.2283,14.8479,Central Europe
42,Poland,52.1312,19.0933,Central Europe
43,Switzerland,46.649,8.4304,Central Europe
44,Portugal,39.8765,-8.1999,Southern Europe
45,Czech Republic,50.2616,15.6109,Central Europe
46,Belgium,50.4956,4.5469,Western Europe
47,Austria,47.9247,14.3475,Central Europe
48,Italy,41.9239,12.2239,Southern Europe
49,Poland,52.2233,18.8429,Central Europe
50,United Kingdom,55.5778,-2.9933,Western Europe
51,Portugal,39.8507,-7.7249,Southern Europe
52,France,46.1976,2.122,Western Europe
53,Netherlands,51.7485,5.5638,Western Europe
54,United Kingdom,55.4273,-3.0083,Western Europe
55,Austria,47.9633,14.6978,Central Europe
56,Czech Republic,50.1968,15.837,Central Europe
57,Switzerland,46.8025,8.0599,Central Europe
58,Belgium,50.9923,4.7623,Western Europe
59,France,46.1971,2.6829,Western Europe
60,Poland,52.3403,19.6425,Central Europe
61,Netherlands,52.0633,5.0355,Western Europe
62,United Kingdom,55.3377,-3.2692,Western Europe
63,Norway,60.4552,8.2061,Northern Europe
64,Sweden,59.9805,18.7801,Northern Europe
65,France,46.6372,2.0404,Western Europe
66,Sweden,59.7434,19.1064,Northern Europe
67,Czech Republic,49.9898,15.5576,Central Europe
68,Poland,51.8277,18.7849,Central Europe
69,Norway,60.4613,8.377,Northern Europe
70,France,46.6766,2.5379,Western Europe
71,Portugal,39.1159,-7.8548,Southern Europe
72,Sweden,60.4166,18.7324,Northern Europe
73,Spain,40.9091,-4.2058,Southern Europe
74,Netherlands,52.2409,4.857,Western Europe
75,Denmark,56.5329,9.7226,Northern Europe
76,Netherlands,52.5862,5.4781,Western Europe
77,Belgium,50.3575,4.6352,Western Europe
78,Netherlands,51.7475,5.0699,Western Europe
79,Denmark,56.1037,9.0079,Northern Europe
80,United Kingdom,55.5997,-3.1592,Western Europe
81,Belgium,50.2771,4.7248,Western Europe
82,United Kingdom,55.8234,-3.1687,Western Europe
83,Belgium,50.0226,4.8911,Western Europe
84,France,46.1643,1.8196,Western Europe
85,Spain,40.8696,-3.8998,Southern Europe
86,Austria,47.7706,14.81,Central Europe
87,Sweden,59.9029,18.1997,Northern Europe
88,Switzerland,47.2724,8.4664,Central Europe
89,Italy,41.411,12.775,Southern Europe
90,France,46.2856,2.1003,Western Europe
91,Czech Republic,50.2555,15.2826,Central Europe
92,Netherlands,52.5803,5.2776,Western Europe
93,Norway,60.6648,8.5936,Northern Europe
94,Denmark,56.599,9.3696,Northern Europe
95,Denmark,55.8665,9.8477,Northern Europe
96,Belgium,50.0572,4.4719,Western Europe
97,Norway,60.1108,8.6744,Northern Europe
98,Germany,50.9041,10.5905,Central Europe
99,Netherlands,51.8732,5.2079,Western Europe
100,Netherlands,51.8863,4.8075,Western Europe
101,Poland,51.6017,18.78,Central Europe
102,Spain,40.2498,-3.3871,Southern Europe
103,United Kingdom,55.6792,-3.2089,Western Europe
104,Czech Republic,49.7436,15.6628,Central Europe
105,Norway,60.5796,8.7502,Northern Europe
106,Portugal,39.0376,-8.3576,Southern Europe
107,Spain,40.9601,-3.9636,Southern Europe
108,United Kingdom,55.7694,-3.0846,Western Europe
109,Italy,41.9838,12.1536,Southern Europe
110,Poland,52.0072,19.4129,Central Europe
111,Denmark,56.0479,9.0807,Northern Europe
112,Norway,60.8358,8.0501,Northern Europe
113,Austria,47.2611,14.8574,Central Europe
114,Netherlands,52.3668,5.6521,Western Europe
115,United Kingdom,55.8235,-3.0718,Western Europe
116,Belgium,50.5093,4.9366,Western Europe
117,Italy,42.2544,12.7949,Southern Europe
118,Norway,60.9611,8.6493,Northern Europe
119,Netherlands,52.4366,5.3106,Western Europe
120,United Kingdom,55.353,-3.9194,Western Europe
121,Portugal,39.1274,-8.6731,Southern Europe
122,Austria,47.3299,14.2015,Central Europe
123,Switzerland,46.695,8.6842,Central Europe
124,Czech Republic,50.0225,15.29,Central Europe
125,Poland,51.6758,19.1242,Central Europe
126,Germany,50.7659,10.2818,Central Europe
127,Poland,51.4786,19.4138,Central Europe
128,United Kingdom,55.4461,-3.8287,Western Europe
129,Austria,47.6645,14.7687,Central Europe
130,Poland,51.5148,19.6268,Central Europe
131,Germany,51.3335,10.4169,Central Europe
132,Czech Republic,50.3063,15.3466,Central Europe
133,France,45.7894,2.2613,Western Europe
134,Italy,41.8851,12.5242,Southern Europe
135,France,46.2688,1.774,Western Europe
136,France,46.4103,2.3755,Western Europe
137,Czech Republic,49.8619,15.5049,Central Europe
138,Portugal,38.9335,-8.1267,Southern Europe
139,Portugal,39.2188,-8.1266,Southern Europe
140,Belgium,50.5598,4.0168,Western Europe
141,United Kingdom,55.7356,-3.7916,Western Europe
142,France,46.2632,2.5431,Western Europe
143,Spain,40.9009,-3.2871,Southern Europe
